city,lat,lng,country,iso3,local_name,population,continent
Asipovichy,53.3,28.65,Belarus,BLR,Mahilyowskaya Voblasts’,29981.0,Europe
Bourèm Guindou,16.9004,-0.35,Mali,MLI,Gao,30000.0,Africa
Kelkheim (Taunus),50.138,8.4525,Germany,DEU,Hesse,29055.0,Europe
Evaz,27.76,54.0072,Iran,IRN,Fārs,29987.0,Asia
Pantabangan,15.8167,121.15,Philippines,PHL,Nueva Ecija,29925.0,Asia
Mavinga,-15.7895,20.36,Angola,AGO,Kuando Kubango,30000.0,Africa
Leduc,53.2594,-113.5492,Canada,CAN,Alberta,29993.0,North America
Seguin,29.5889,-97.9671,United States,USA,Texas,29992.0,North America
Arlon,49.6836,5.8167,Belgium,BEL,Wallonia,29733.0,Europe
Santana do Acaraú,-3.4608,-40.2119,Brazil,BRA,Ceará,29946.0,South America
Waltrop,51.6236,7.3972,Germany,DEU,North Rhine-Westphalia,29345.0,Europe
Tönisvorst,51.3208,6.4931,Germany,DEU,North Rhine-Westphalia,29306.0,Europe
Hampden,40.2602,-76.9809,United States,USA,Pennsylvania,29966.0,North America
Carinhanha,-14.305,-43.765,Brazil,BRA,Bahia,29955.0,South America
Svendborg,55.0704,10.6167,Denmark,DNK,Syddanmark,29180.0,Europe
Giannitsá,40.7962,22.4145,Greece,GRC,Kentrikí Makedonía,29789.0,Europe
Arari,-3.4539,-44.78,Brazil,BRA,Maranhão,29932.0,South America
Fortuna Foothills,32.6616,-114.3973,United States,USA,Arizona,29955.0,North America
Fresno,5.1536,-75.0369,Colombia,COL,Tolima,29794.0,South America
Cambuí,-22.6119,-46.0578,Brazil,BRA,Minas Gerais,29814.0,South America
Schwelm,51.2904,7.2972,Germany,DEU,North Rhine-Westphalia,28542.0,Europe
Milford Mill,39.3444,-76.7668,United States,USA,Maryland,29926.0,North America
Cannock,52.691,-2.027,United Kingdom,GBR,Staffordshire,29018.0,Europe
Pasadena,39.1552,-76.5537,United States,USA,Maryland,29918.0,North America
Casa Branca,-21.7739,-47.0858,Brazil,BRA,São Paulo,29877.0,South America
San Rafael,20.1889,-96.8658,Mexico,MEX,Veracruz,29631.0,North America
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,MAR,Rabat-Salé-Kénitra,28681.0,Africa
Calintaan,12.5756,120.9428,Philippines,PHL,Occidental Mindoro,29826.0,Asia
Stockbridge,33.5253,-84.2294,United States,USA,Georgia,29904.0,North America
Tameslouht,31.5,-8.1,Morocco,MAR,Marrakech-Safi,28978.0,Africa
East Liverpool,40.6333,-80.5677,United States,USA,Ohio,29898.0,North America
Triunfo,-29.9428,-51.7178,Brazil,BRA,Rio Grande do Sul,29856.0,South America
Leonding,48.2792,14.2528,Austria,AUT,Oberösterreich,28698.0,Europe
Aral,46.8,61.6667,Kazakhstan,KAZ,Qyzylorda,29887.0,Asia
Madison Heights,42.5073,-83.1034,United States,USA,Michigan,29886.0,North America
Gyöngyös,47.7833,19.9333,Hungary,HUN,Heves,29337.0,Europe
Vaihingen an der Enz,48.9328,8.9564,Germany,DEU,Baden-Württemberg,29467.0,Europe
Kınık,39.0872,27.3833,Turkey,TUR,İzmir,29803.0,Europe
Capim,-1.675,-47.775,Brazil,BRA,Pará,29846.0,South America
Zhangguzhuang,38.0584,115.2891,China,CHN,Hebei,29079.0,Asia
Oosterend,53.0036,6.0664,Netherlands,NLD,Fryslân,29723.0,Europe
Kabalo,-6.05,26.91,Congo (Kinshasa),COD,Tanganyika,29833.0,Africa
Prainha,-1.8,-53.48,Brazil,BRA,Pará,29846.0,South America
Purificación,3.8567,-74.9325,Colombia,COL,Tolima,29777.0,South America
Livingston,40.7855,-74.3291,United States,USA,New Jersey,29846.0,North America
Mahón,39.8894,4.2642,Spain,ESP,Balearic Islands,29592.0,Europe
Williston,48.1814,-103.6364,United States,USA,North Dakota,29844.0,North America
Villa Gesell,-37.2556,-56.9681,Argentina,ARG,Buenos Aires,29593.0,South America
Labasa,-16.4333,179.3667,Fiji,FJI,Macuata,27949.0,Oceania
Askøy,60.4667,5.15,Norway,NOR,Hordaland,29553.0,Europe
Dedovsk,55.8667,37.1333,Russia,RUS,Moskovskaya Oblast’,29738.0,Europe
Heywood,53.59,-2.219,United Kingdom,GBR,Rochdale,28205.0,Europe
Shiyeli,44.1689,66.7389,Kazakhstan,KAZ,Qyzylorda,29832.0,Asia
Matanog,7.4667,124.25,Philippines,PHL,Maguindanao,29770.0,Asia
Bretten,49.0364,8.7061,Germany,DEU,Baden-Württemberg,29412.0,Europe
Crevillente,38.2486,-0.8089,Spain,ESP,Valencia,29536.0,Europe
Dipaculao,15.9833,121.6333,Philippines,PHL,Aurora,29736.0,Asia
Redondela,42.2833,-8.6167,Spain,ESP,Galicia,29241.0,Europe
Pontedera,43.6625,10.6328,Italy,ITA,Tuscany,29168.0,Europe
Mandalī,33.7436,45.5464,Iraq,IRQ,Diyālá,29785.0,Asia
Misilmeri,38.0333,13.45,Italy,ITA,Sicilia,29376.0,Europe
Eagle,43.7223,-116.3862,United States,USA,Idaho,29796.0,North America
Igarapava,-20.0383,-47.7469,Brazil,BRA,São Paulo,29727.0,South America
Parabiago,45.5583,8.9477,Italy,ITA,Lombardy,27842.0,Europe
Dzyarzhynsk,53.6833,27.1333,Belarus,BLR,Minskaya Voblasts’,29739.0,Europe
Flandes,4.2844,-74.8142,Colombia,COL,Tolima,29478.0,South America
Alushta,44.6672,34.3978,Ukraine,UKR,"Krym, Avtonomna Respublika",29668.0,Europe
Benito Soliven,16.9833,121.95,Philippines,PHL,Isabela,29624.0,Asia
Rancharia,-22.2289,-50.8928,Brazil,BRA,São Paulo,29778.0,South America
Brecht,51.3494,4.6394,Belgium,BEL,Flanders,29454.0,Europe
Spinea,45.4931,12.1606,Italy,ITA,Veneto,27909.0,Europe
Alquízar,22.8067,-82.5828,Cuba,CUB,Artemisa,29616.0,North America
Campo Magro,-25.3689,-49.4508,Brazil,BRA,Paraná,29740.0,South America
Friedberg,50.3353,8.755,Germany,DEU,Hesse,29180.0,Europe
Candijay,9.818,124.496,Philippines,PHL,Bohol,29475.0,Asia
Mangdongshan,24.1169,98.3085,China,CHN,Yunnan,29587.0,Asia
Maryville,35.7468,-83.9789,United States,USA,Tennessee,29742.0,North America
Atbasar,51.8,68.3667,Kazakhstan,KAZ,Aqmola,29733.0,Asia
Dumalag,11.3,122.6167,Philippines,PHL,Capiz,29466.0,Asia
